repo_id,commits,label_name,committer_count,committer_time
165470,177000,grads,1121,324
165414,67209,grads,915,149
191242,3204,sandbox,32,15
191227,23171,sandbox,116,49
191142,31586,grads,1257,591
191281,14413,sandbox,79,58
191228,21940,sandbox,40,19
191236,46980,sandbox,75,34
191154,205155,incubating,1444,749
191194,12492,sandbox,98,6
191168,27222,incubating,130,44
191199,3595,sandbox,16,11
191234,5931,sandbox,68,18
191217,14863,sandbox,78,27
191164,87025,incubating,420,87
191279,2693,sandbox,42,9
191161,15257,incubating,185,44
191141,185263,grads,760,369
191172,36026,incubating,440,117
191171,2344,incubating,125,24
191212,2956,sandbox,44,28
191202,15459,sandbox,46,31
191256,34628,sandbox,22,1
191205,972,sandbox,26,21
191125,82524,grads,620,165
191177,3916,incubating,164,20
191197,1157,sandbox,10,6
191137,98718,grads,371,69
191152,79205,incubating,272,52
191139,145844,grads,310,92
191176,23787,incubating,200,109
191156,34234,incubating,102,58
191193,8465,sandbox,32,17
191174,38645,incubating,262,91
191183,9586,sandbox,23,9
191273,81718,sandbox,97,30
191219,12299,sandbox,57,10
191211,15022,sandbox,223,28
191185,24900,sandbox,494,59
191158,115341,incubating,237,23
191232,2870,sandbox,30,13
191229,9304,sandbox,327,190
191254,2369,sandbox,19,6
191159,9940,incubating,195,42
191140,11195,grads,245,12
191251,26609,sandbox,589,331
191124,10673,grads,145,47
191261,26241,sandbox,104,36
191263,153013,sandbox,143,19
191170,274894,incubating,893,173
191207,11201,sandbox,41,28
191138,22183,grads,701,90
191248,2636,sandbox,15,7
191230,38653,sandbox,38,31
191221,29482,sandbox,26,2
191178,14821,sandbox,41,24
191175,4206,incubating,42,16
191126,13582,grads,318,84
191191,76199,sandbox,231,78
191225,10165,sandbox,22,15
191255,21130,sandbox,44,23
191186,33599,sandbox,211,100
191200,13395,sandbox,24,21
191210,20556,sandbox,110,53
191143,45332,grads,337,145
191153,37975,incubating,114,31
191146,213935,incubating,1156,343
191277,5016,sandbox,65,26
191148,1963,incubating,190,67
191233,20353,sandbox,88,34
191267,1033,sandbox,17,13
191223,61108,sandbox,98,25
191270,3863,sandbox,47,1
191224,10483,sandbox,88,55
191246,2182,sandbox,16,16
191237,8508,sandbox,25,8
191157,68570,incubating,280,50
191192,30819,sandbox,100,44
191287,1842,sandbox,63,14
191266,6930,sandbox,93,20
123948,1142461,grads,3891,631
191253,6661,sandbox,119,47
191244,9018,sandbox,126,56
191173,29569,incubating,220,73
191203,2134,sandbox,17,11
191182,95216,sandbox,102,46
191155,98279,incubating,284,158
191286,5386,sandbox,108,54
191166,25603,incubating,185,44
191163,2538,incubating,99,35
191243,710,sandbox,24,13
191190,558548,sandbox,602,273
191240,64437,sandbox,105,32
191247,7777,sandbox,45,22
191160,21150,incubating,155,54
191235,388,sandbox,18,6
191265,23230,sandbox,34,7
191165,18160,incubating,91,4
191220,1110,sandbox,12,9
191249,13503,sandbox,36,19
191284,26762,sandbox,119,88
191262,26378,sandbox,80,64
191189,7748,sandbox,204,9
191198,45828,sandbox,28,10
191188,675,sandbox,82,53
191275,11473,sandbox,26,11
191278,101,sandbox,13,5
191151,65518,incubating,116,43
191169,1505,incubating,33,2
191133,67996,grads,426,133
191149,907,incubating,129,67
191241,6667,sandbox,120,61
191147,27635,incubating,330,63
191180,7610,sandbox,55,22
191181,3846,sandbox,32,12
191264,6701,sandbox,25,16
191196,38040,sandbox,77,44
191204,1349,sandbox,14,6
191239,10597,sandbox,26,9
191274,69693,sandbox,80,39
191201,36874,sandbox,102,24
191258,4852,sandbox,34,14
191184,4580,sandbox,60,29
191206,7907,sandbox,36,24
191128,58417,grads,897,204
191226,27567,sandbox,41,14
36656,28629,sandbox,72,19
191245,6393,sandbox,36,14
191208,1884,sandbox,40,17
191209,370,sandbox,32,1
191269,2086,sandbox,92,19
191271,1538,sandbox,51,8
191276,16554,sandbox,68,23
191136,872,grads,48,10
191134,25941,grads,170,61
191260,49003,sandbox,236,84
191285,10462,sandbox,42,17
191280,2888,sandbox,55,8
191215,11901,sandbox,47,36
191272,38881,sandbox,91,36
191179,8611,sandbox,29,12
191167,17420,incubating,593,145
191129,12514,grads,88,22
191135,48267,grads,403,81
191231,7604,sandbox,51,8
191216,23825,sandbox,49,10
191187,15180,sandbox,67,11
191213,12560,sandbox,45,21
191222,49144,sandbox,128,20
191131,145619,grads,404,97
191218,2403,sandbox,85,11
191283,16041,sandbox,74,38
191250,17954,sandbox,170,78
191259,53418,sandbox,58,20
191282,5630,sandbox,17,15
139311,96323,grads,333,81
165501,210869,grads,1011,243
165440,36942,grads,338,94
140424,25116,incubating,216,58
150726,84623,incubating,206,49
